Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:29:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:04     all    2.67    0.00    2.02    0.09    0.00    0.39    0.00    0.00    0.00   94.83
21:30:04       0    1.61    0.00    1.81    0.00    0.00    1.81    0.00    0.00    0.00   94.77
21:30:04       1    2.22    0.00    1.62    0.00    0.00    0.40    0.00    0.00    0.00   95.76
21:30:04       2    2.40    0.00    2.61    0.00    0.00    0.20    0.00    0.00    0.00   94.79
21:30:04       3    4.85    0.00    2.63    0.20    0.00    0.20    0.00    0.00    0.00   92.12
21:30:04       4    2.63    0.00    1.82    0.00    0.00    0.20    0.00    0.00    0.00   95.34
21:30:04       5    5.41    0.00    3.21    0.20    0.00    0.40    0.00    0.00    0.00   90.78
21:30:04       6    2.40    0.00    2.40    0.40    0.00    0.40    0.00    0.00    0.00   94.40
21:30:04       7    3.80    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00   93.40
21:30:04       8    1.81    0.00    1.61    0.00    0.00    0.20    0.00    0.00    0.00   96.37
21:30:04       9    1.81    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   96.57
21:30:04      10    1.83    0.00    1.42    0.00    0.00    0.41    0.00    0.00    0.00   96.34
21:30:04      11    3.21    0.00    2.41    0.00    0.00    0.20    0.00    0.00    0.00   94.18
21:30:04      12    1.82    0.00    1.62    0.00    0.00    0.40    0.00    0.00    0.00   96.16
21:30:04      13    2.41    0.00    1.81    0.00    0.00    0.40    0.00    0.00    0.00   95.38
21:30:04      14    2.20    0.00    1.60    0.60    0.00    0.20    0.00    0.00    0.00   95.39
21:30:04      15    2.20    0.00    2.00    0.00    0.00    0.20    0.00    0.00    0.00   95.60

21:30:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:09     all    1.65    0.00    0.73    0.00    0.00    0.39    0.00    0.00    0.00   97.23
21:30:09       0    0.80    0.00    0.40    0.00    0.00    2.00    0.00    0.00    0.00   96.80
21:30:09       1    0.81    0.00    0.41    0.00    0.00    0.41    0.00    0.00    0.00   98.37
21:30:09       2    1.40    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.00
21:30:09       3    4.43    0.00    1.61    0.00    0.00    0.40    0.00    0.00    0.00   93.56
21:30:09       4    1.80    0.00    0.60    0.00    0.00    0.40    0.00    0.00    0.00   97.19
21:30:09       5    4.39    0.00    2.20    0.00    0.00    0.80    0.00    0.00    0.00   92.61
21:30:09       6    1.61    0.00    1.01    0.00    0.00    0.60    0.00    0.00    0.00   96.78
21:30:09       7    2.21    0.00    1.21    0.00    0.00    0.60    0.00    0.00    0.00   95.98
21:30:09       8    1.00    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.40
21:30:09       9    0.81    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.79
21:30:09      10    0.82    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   98.77
21:30:09      11    1.80    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   97.19
21:30:09      12    1.21    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.38
21:30:09      13    2.01    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.18
21:30:09      14    0.81    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.79
21:30:09      15    0.40    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.99

21:30:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:14     all    1.57    0.00    0.79    0.00    0.00    0.34    0.00    0.00    0.00   97.30
21:30:14       0    0.80    0.00    0.60    0.00    0.00    1.20    0.00    0.00    0.00   97.39
21:30:14       1    0.81    0.00    0.61    0.00    0.00    0.61    0.00    0.00    0.00   97.98
21:30:14       2    1.60    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.40
21:30:14       3    3.03    0.00    1.21    0.00    0.00    0.61    0.00    0.00    0.00   95.15
21:30:14       4    2.20    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   96.20
21:30:14       5    3.01    0.00    1.41    0.00    0.00    0.40    0.00    0.00    0.00   95.18
21:30:14       6    1.60    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   96.80
21:30:14       7    1.81    0.00    1.20    0.00    0.00    0.60    0.00    0.00    0.00   96.39
21:30:14       8    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.80
21:30:14       9    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.40
21:30:14      10    0.81    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   98.58
21:30:14      11    2.82    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.17
21:30:14      12    1.21    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.99
21:30:14      13    2.42    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   96.77
21:30:14      14    1.00    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   98.20
21:30:14      15    1.01    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.38

21:30:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:19     all    1.58    0.00    0.78    0.13    0.00    0.39    0.00    0.00    0.00   97.12
21:30:19       0    1.00    0.00    0.80    0.20    0.00    1.59    0.00    0.00    0.00   96.41
21:30:19       1    0.81    0.00    0.61    0.00    0.00    0.61    0.00    0.00    0.00   97.98
21:30:19       2    1.99    0.00    0.80    0.40    0.00    0.20    0.00    0.00    0.00   96.61
21:30:19       3    4.01    0.00    1.60    0.00    0.00    0.60    0.00    0.00    0.00   93.79
21:30:19       4    2.20    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   96.59
21:30:19       5    2.83    0.00    1.41    0.40    0.00    0.40    0.00    0.00    0.00   94.95
21:30:19       6    1.41    0.00    1.01    0.40    0.00    0.40    0.00    0.00    0.00   96.78
21:30:19       7    2.01    0.00    0.80    0.40    0.00    0.40    0.00    0.00    0.00   96.38
21:30:19       8    1.39    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   97.81
21:30:19       9    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.79
21:30:19      10    0.81    0.00    0.41    0.00    0.00    0.20    0.00    0.00    0.00   98.58
21:30:19      11    2.22    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.77
21:30:19      12    0.81    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   98.38
21:30:19      13    1.80    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   96.99
21:30:19      14    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.79
21:30:19      15    0.80    0.00    0.40    0.20    0.00    0.20    0.00    0.00    0.00   98.39

21:30:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:24     all    1.49    0.00    0.77    0.01    0.00    0.38    0.00    0.00    0.00   97.36
21:30:24       0    0.60    0.00    0.60    0.00    0.00    1.40    0.00    0.00    0.00   97.39
21:30:24       1    0.61    0.00    0.20    0.00    0.00    0.41    0.00    0.00    0.00   98.78
21:30:24       2    1.20    0.00    0.60    0.20    0.00    0.20    0.00    0.00    0.00   97.79
21:30:24       3    3.85    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   94.53
21:30:24       4    2.00    0.00    1.40    0.00    0.00    0.80    0.00    0.00    0.00   95.81
21:30:24       5    2.85    0.00    1.42    0.00    0.00    0.41    0.00    0.00    0.00   95.33
21:30:24       6    2.39    0.00    1.19    0.00    0.00    0.20    0.00    0.00    0.00   96.22
21:30:24       7    2.20    0.00    1.60    0.00    0.00    0.80    0.00    0.00    0.00   95.40
21:30:24       8    0.40    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.99
21:30:24       9    0.80    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.59
21:30:24      10    1.01    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   98.17
21:30:24      11    1.81    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.18
21:30:24      12    1.21    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.98
21:30:24      13    1.01    0.00    0.60    0.00    0.00    0.40    0.00    0.00    0.00   97.99
21:30:24      14    1.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   98.80
21:30:24      15    0.81    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   98.78

21:30:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:29     all    1.55    0.00    0.90    0.00    0.00    0.39    0.00    0.00    0.00   97.16
21:30:29       0    0.60    0.00    0.40    0.00    0.00    1.21    0.00    0.00    0.00   97.79
21:30:29       1    0.60    0.00    0.80    0.00    0.00    0.60    0.00    0.00    0.00   97.99
21:30:29       2    1.20    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   97.60
21:30:29       3    3.03    0.00    1.62    0.00    0.00    0.40    0.00    0.00    0.00   94.95
21:30:29       4    1.62    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   96.97
21:30:29       5    3.81    0.00    1.80    0.00    0.00    0.80    0.00    0.00    0.00   93.59
21:30:29       6    2.21    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   96.99
21:30:29       7    2.39    0.00    1.99    0.00    0.00    0.80    0.00    0.00    0.00   94.82
21:30:29       8    1.00    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.40
21:30:29       9    0.60    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   98.60
21:30:29      10    1.21    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.77
21:30:29      11    2.21    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   96.18
21:30:29      12    1.01    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   98.38
21:30:29      13    1.01    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   98.19
21:30:29      14    0.81    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   98.59
21:30:29      15    1.41    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.79

21:30:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:30:34     all    1.87    0.00    1.03    0.06    0.00    0.36    0.00    0.00    0.00   96.67
21:30:34       0    1.00    0.00    0.40    0.00    0.00    1.61    0.00    0.00    0.00   96.99
21:30:34       1    0.81    0.00    0.81    0.00    0.00    0.61    0.00    0.00    0.00   97.77
21:30:34       2    1.61    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   97.38
