Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:48:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:48:57     all    3.65    0.00    1.18    0.01    0.00    0.62    0.00    0.00    0.00   94.54
21:48:57       0    1.95    0.00    0.78    0.00    0.00    4.69    0.00    0.00    0.00   92.58
21:48:57       1    1.81    0.00    1.20    0.00    0.00    1.41    0.00    0.00    0.00   95.58
21:48:57       2    2.61    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   95.99
21:48:57       3    7.23    0.00    2.01    0.20    0.00    0.40    0.00    0.00    0.00   90.16
21:48:57       4    4.80    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   93.80
21:48:57       5    8.58    0.00    1.80    0.00    0.00    0.40    0.00    0.00    0.00   89.22
21:48:57       6    4.02    0.00    1.41    0.00    0.00    0.40    0.00    0.00    0.00   94.18
21:48:57       7    6.25    0.00    2.22    0.00    0.00    0.40    0.00    0.00    0.00   91.13
21:48:57       8    2.02    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.18
21:48:57       9    1.41    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   98.38
21:48:57      10    1.84    0.00    0.82    0.00    0.00    0.20    0.00    0.00    0.00   97.14
21:48:57      11    4.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.96
21:48:57      12    1.62    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   96.97
21:48:57      13    3.64    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   94.95
21:48:57      14    1.41    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.79
21:48:57      15    5.21    0.00    1.60    0.00    0.00    0.40    0.00    0.00    0.00   92.79

21:48:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:02     all    4.93    0.00    2.56    0.04    0.00    0.59    0.00    0.00    0.00   91.89
21:49:02       0    3.14    0.00    2.36    0.00    0.00    4.13    0.00    0.00    0.00   90.37
21:49:02       1    2.44    0.00    2.44    0.00    0.00    1.22    0.00    0.00    0.00   93.89
21:49:02       2    3.83    0.00    2.22    0.00    0.00    0.40    0.00    0.00    0.00   93.55
21:49:02       3    8.91    0.00    3.44    0.00    0.00    0.20    0.00    0.00    0.00   87.45
21:49:02       4    5.44    0.00    2.82    0.00    0.00    0.20    0.00    0.00    0.00   91.53
21:49:02       5    8.92    0.00    4.06    0.00    0.00    0.20    0.00    0.00    0.00   86.82
21:49:02       6    5.65    0.00    2.42    0.40    0.00    0.20    0.00    0.00    0.00   91.33
21:49:02       7    7.27    0.00    2.83    0.00    0.00    0.40    0.00    0.00    0.00   89.49
21:49:02       8    2.83    0.00    2.22    0.00    0.00    0.20    0.00    0.00    0.00   94.75
21:49:02       9    4.03    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   94.56
21:49:02      10    3.91    0.00    2.06    0.00    0.00    0.21    0.00    0.00    0.00   93.83
21:49:02      11    4.42    0.00    2.61    0.00    0.00    0.40    0.00    0.00    0.00   92.57
21:49:02      12    3.42    0.00    2.41    0.00    0.00    0.40    0.00    0.00    0.00   93.76
21:49:02      13    5.41    0.00    2.40    0.00    0.00    0.20    0.00    0.00    0.00   91.98
21:49:02      14    3.01    0.00    2.01    0.00    0.00    0.40    0.00    0.00    0.00   94.58
