Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:54:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:54:57     all    3.62    0.00    0.85    0.01    0.00    0.65    0.00    0.00    0.00   94.86
21:54:57       0    1.35    0.00    0.39    0.00    0.00    5.80    0.00    0.00    0.00   92.46
21:54:57       1    2.01    0.00    0.60    0.00    0.00    1.21    0.00    0.00    0.00   96.18
21:54:57       2    2.84    0.00    0.61    0.20    0.00    0.41    0.00    0.00    0.00   95.94
21:54:57       3    7.26    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   91.33
21:54:57       4    4.84    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   94.15
21:54:57       5    8.03    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   90.36
21:54:57       6    3.61    0.00    1.00    0.00    0.00    0.20    0.00    0.00    0.00   95.18
21:54:57       7    5.19    0.00    1.60    0.00    0.00    0.20    0.00    0.00    0.00   93.01
21:54:57       8    1.21    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   97.99
21:54:57       9    1.21    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.38
21:54:57      10    2.86    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   96.33
21:54:57      11    3.81    0.00    0.60    0.00    0.00    0.40    0.00    0.00    0.00   95.19
21:54:57      12    3.02    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   96.37
21:54:57      13    2.82    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   95.77
21:54:57      14    2.02    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.18
21:54:57      15    5.86    0.00    1.62    0.00    0.00    0.40    0.00    0.00    0.00   92.12

21:54:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:02     all    4.75    0.00    1.72    0.10    0.00    0.66    0.00    0.00    0.00   92.76
21:55:02       0    2.69    0.00    1.15    0.00    0.00    6.33    0.00    0.00    0.00   89.83
21:55:02       1    3.23    0.00    1.81    0.20    0.00    1.01    0.00    0.00    0.00   93.75
21:55:02       2    3.63    0.00    1.41    0.20    0.00    0.20    0.00    0.00    0.00   94.56
21:55:02       3   11.38    0.00    2.20    0.20    0.00    0.20    0.00    0.00    0.00   86.03
21:55:02       4    5.02    0.00    2.81    0.20    0.00    0.20    0.00    0.00    0.00   91.77
21:55:02       5    7.82    0.00    2.00    0.00    0.00    0.20    0.00    0.00    0.00   89.98
21:55:02       6    3.61    0.00    1.41    0.20    0.00    0.20    0.00    0.00    0.00   94.58
21:55:02       7    5.02    0.00    1.61    0.00    0.00    0.20    0.00    0.00    0.00   93.17
21:55:02       8    2.01    0.00    1.61    0.20    0.00    0.20    0.00    0.00    0.00   95.98
21:55:02       9    2.43    0.00    1.01    0.20    0.00    0.00    0.00    0.00    0.00   96.36
21:55:02      10    3.87    0.00    1.63    0.00    0.00    0.41    0.00    0.00    0.00   94.09
21:55:02      11    5.22    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   93.17
21:55:02      12    3.39    0.00    2.19    0.00    0.00    0.40    0.00    0.00    0.00   94.02
21:55:02      13    5.05    0.00    1.62    0.00    0.00    0.20    0.00    0.00    0.00   93.13
21:55:02      14    3.43    0.00    1.21    0.20    0.00    0.00    0.00    0.00    0.00   95.16
21:55:02      15    8.28    0.00    2.42    0.00    0.00    0.40    0.00    0.00    0.00   88.89

21:55:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:07     all    3.83    0.00    0.89    0.05    0.00    0.76    0.00    0.00    0.00   94.46
21:55:07       0    1.71    0.00    0.38    0.00    0.00    7.05    0.00    0.00    0.00   90.86
21:55:07       1    1.81    0.00    0.60    0.00    0.00    1.21    0.00    0.00    0.00   96.37
21:55:07       2    2.62    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   96.57
21:55:07       3    8.33    0.00    2.18    0.20    0.00    0.40    0.00    0.00    0.00   88.89
21:55:07       4    4.01    0.00    1.20    0.20    0.00    0.40    0.00    0.00    0.00   94.19
21:55:07       5    9.60    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   89.00
21:55:07       6    2.42    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.37
21:55:07       7    4.23    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   94.57
21:55:07       8    1.61    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.98
21:55:07       9    1.42    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   98.17
21:55:07      10    3.07    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   96.31
21:55:07      11    4.02    0.00    1.00    0.00    0.00    0.20    0.00    0.00    0.00   94.78
21:55:07      12    2.61    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   96.79
21:55:07      13    5.40    0.00    1.20    0.20    0.00    0.40    0.00    0.00    0.00   92.80
21:55:07      14    2.21    0.00    1.20    0.20    0.00    0.40    0.00    0.00    0.00   95.98
21:55:07      15    6.21    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   92.18

21:55:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:12     all    3.81    0.00    0.93    0.04    0.00    0.66    0.00    0.00    0.00   94.56
21:55:12       0    1.72    0.00    0.77    0.00    0.00    6.13    0.00    0.00    0.00   91.38
21:55:12       1    1.62    0.00    0.81    0.00    0.00    1.41    0.00    0.00    0.00   96.16
21:55:12       2    2.82    0.00    1.21    0.20    0.00    0.20    0.00    0.00    0.00   95.57
21:55:12       3    5.84    0.00    1.41    0.00    0.00    0.40    0.00    0.00    0.00   92.35
21:55:12       4    5.05    0.00    1.01    0.40    0.00    0.20    0.00    0.00    0.00   93.33
21:55:12       5    9.18    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   89.42
21:55:12       6    4.43    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   94.37
21:55:12       7    5.23    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   93.36
21:55:12       8    1.41    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   97.98
21:55:12       9    2.01    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   97.39
21:55:12      10    2.24    0.00    1.02    0.00    0.00    0.20    0.00    0.00    0.00   96.54
21:55:12      11    5.43    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   93.56
21:55:12      12    2.00    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   96.79
21:55:12      13    6.57    0.00    1.00    0.00    0.00    0.20    0.00    0.00    0.00   92.23
21:55:12      14    2.22    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   96.98
21:55:12      15    3.25    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   95.74

21:55:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:17     all    3.75    0.00    0.87    0.00    0.00    0.69    0.00    0.00    0.00   94.69
21:55:17       0    1.73    0.00    0.58    0.00    0.00    5.97    0.00    0.00    0.00   91.71
21:55:17       1    1.42    0.00    0.61    0.00    0.00    0.81    0.00    0.00    0.00   97.15
21:55:17       2    2.63    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   96.16
21:55:17       3    8.84    0.00    1.61    0.00    0.00    0.20    0.00    0.00    0.00   89.36
21:55:17       4    3.81    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   94.79
21:55:17       5    9.18    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   89.42
21:55:17       6    4.02    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   94.58
21:55:17       7    5.82    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   92.77
21:55:17       8    2.42    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.57
21:55:17       9    2.62    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   96.78
21:55:17      10    2.25    0.00    0.61    0.00    0.00    0.41    0.00    0.00    0.00   96.73
21:55:17      11    2.41    0.00    0.60    0.00    0.00    0.40    0.00    0.00    0.00   96.58
21:55:17      12    3.02    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   96.17
21:55:17      13    4.03    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   94.76
21:55:17      14    2.81    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   95.98
21:55:17      15    3.02    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   95.77

21:55:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:22     all    3.73    0.00    0.89    0.01    0.00    0.65    0.00    0.00    0.00   94.72
21:55:22       0    1.54    0.00    0.58    0.00    0.00    5.79    0.00    0.00    0.00   92.08
21:55:22       1    1.82    0.00    0.61    0.00    0.00    1.01    0.00    0.00    0.00   96.56
21:55:22       2    2.62    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   96.17
21:55:22       3    6.85    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   91.94
21:55:22       4    5.61    0.00    1.20    0.20    0.00    0.20    0.00    0.00    0.00   92.79
21:55:22       5    9.54    0.00    1.79    0.00    0.00    0.40    0.00    0.00    0.00   88.27
